ID,Prediction
1,0.1435691
2,0.1435691
3,0.1435691
4,0.1435691
5,0.1435691
6,0.1435691
7,0.1435691
8,0.1435691
9,0.1435691
10,0.1435691
11,0.1435691
12,0.1435691
13,0.1435691
14,0.1435691
15,0.1435691
16,0.1435691
17,0.1435691
18,0.1435691
19,0.1435691
20,0.1435691
21,0.1435691
22,0.1435691
23,0.14336008
24,0.1435691
25,0.1435691
26,0.1435691
27,0.1435691
28,0.1435691
29,0.1435691
30,0.1435691
31,0.1435691
32,0.1435691
33,0.1435691
34,0.1435691
35,0.1435691
36,0.1435691
37,0.1435691
38,0.1435691
39,0.1435691
40,0.1435691
41,0.1435691
42,0.1435691
43,0.14343654
44,0.1435691
45,0.1435691
46,0.1435691
47,0.1435691
48,0.1435691
49,0.1435691
50,0.1435691
51,0.1435691
52,0.1435691
53,0.1435691
54,0.1435691
55,0.14351778
56,0.1435691
57,0.1435691
58,0.1435691
59,0.1435691
60,0.1435691
61,0.1435691
62,0.1435691
63,0.1435691
64,0.1435691
65,0.1435691
66,0.1435691
67,0.14336008
68,0.1435691
69,0.1435691
70,0.1435691
71,0.1435691
72,0.1435691
73,0.1435691
74,0.1435691
75,0.1435691
76,0.1435691
77,0.1435691
78,0.1435691
79,0.1435691
80,0.1435691
81,0.1435691
82,0.1435691
83,0.1435691
84,0.1435691
85,0.1435691
86,0.1435691
87,0.1435691
88,0.1435691
89,0.1435691
90,0.1435691
91,0.1435691
92,0.1435691
93,0.1435691
94,0.1435691
95,0.1435691
96,0.1435691
97,0.1435691
98,0.1435691
99,0.1435691
100,0.1435691
101,0.1435691
102,0.1435691
103,0.1435691
104,0.1435691
105,0.1435691
106,0.1435691
107,0.1435691
108,0.1435691
109,0.1435691
110,0.1435691
111,0.1435691
112,0.1435691
113,0.1435691
114,0.1435691
115,0.1435691
116,0.1435691
117,0.1435691
118,0.1435691
119,0.1435691
120,0.1435691
121,0.1435691
122,0.1435691
123,0.1435691
124,0.1435691
125,0.14343654
126,0.1435691
127,0.1435691
128,0.1435691
129,0.1435691
130,0.1435691
131,0.1435691
132,0.1435691
133,0.1435691
134,0.1435691
135,0.1435691
136,0.1435691
137,0.1435691
138,0.1435691
139,0.1435691
140,0.1435691
141,0.1435691
142,0.1435691
143,0.1435691
144,0.1435691
145,0.1435691
146,0.1435691
147,0.1435691
148,0.1435691
149,0.1435691
150,0.1435691
151,0.1435691
152,0.1435691
153,0.1435691
154,0.1435691
155,0.1435691
156,0.1435691
157,0.1435691
158,0.1435691
159,0.1435691
160,0.1435691
161,0.1435691
162,0.1435691
163,0.1435691
164,0.1435691
165,0.1435691
166,0.1435691
167,0.1435691
168,0.1435691
169,0.1435691
170,0.1435691
171,0.14361224
172,0.1435691
173,0.1435691
174,0.1435691
175,0.1435691
176,0.1435691
177,0.1435691
178,0.1435691
179,0.1435691
180,0.1435691
181,0.1435691
182,0.1435691
183,0.1435691
184,0.1435691
