ID,Prediction
1,0.6401632
2,0.6401632
3,0.6401632
4,0.6401632
5,0.6401632
6,0.6401632
7,0.6401632
8,0.6401632
9,0.6401632
10,0.6401632
11,0.6401632
12,0.6401632
13,0.6401632
14,0.6401632
15,0.6401632
16,0.6401632
17,0.6401632
18,0.6401632
19,0.6401632
20,0.6401632
21,0.6401632
22,0.6401632
23,0.64017206
24,0.6401632
25,0.6401632
26,0.6401632
27,0.6401632
28,0.6401632
29,0.6401632
30,0.6401632
31,0.6401632
32,0.6401632
33,0.6401632
34,0.6401632
35,0.6401632
36,0.6401632
37,0.6401632
38,0.6401632
39,0.6401632
40,0.6401632
41,0.6401632
42,0.6401632
43,0.6401601
44,0.6401632
45,0.6401632
46,0.6401632
47,0.6401632
48,0.6401632
49,0.6401632
50,0.6401632
51,0.6401632
52,0.6401632
53,0.6401632
54,0.6401632
55,0.6401601
56,0.6401632
57,0.6401632
58,0.6401632
59,0.6401632
60,0.6401632
61,0.6401632
62,0.6401632
63,0.6401632
64,0.6401632
65,0.6401632
66,0.6401632
67,0.6401601
68,0.6401632
69,0.6401632
70,0.6401632
71,0.6401632
72,0.6401632
73,0.6401632
74,0.6401632
75,0.6401601
76,0.6401632
77,0.6401632
78,0.6401632
79,0.6401632
80,0.6401632
81,0.6401632
82,0.6401632
83,0.6401632
84,0.6401632
85,0.6401632
86,0.6401632
87,0.6401632
88,0.6401632
89,0.6401632
90,0.6401632
91,0.6401632
92,0.6401632
93,0.6401632
94,0.6401632
95,0.6401632
96,0.6401632
97,0.6401632
98,0.6401632
99,0.6401632
100,0.6401632
101,0.6401632
102,0.6401632
103,0.6401632
104,0.6401632
105,0.6401632
106,0.6401632
107,0.6401632
108,0.6401632
109,0.6401632
110,0.6401632
111,0.6401632
112,0.6401632
113,0.6401632
114,0.6401632
115,0.6401632
116,0.6401632
117,0.6401632
118,0.6401632
119,0.6401632
120,0.6401632
121,0.6401632
122,0.6401632
123,0.6401632
124,0.6401632
125,0.6401601
126,0.6401632
127,0.6401632
128,0.6401632
129,0.6401632
130,0.6401632
131,0.6401632
132,0.6401632
133,0.6401632
134,0.6401632
135,0.6401632
136,0.6401632
137,0.6401632
138,0.6401632
139,0.6401632
140,0.6401632
141,0.6401632
142,0.6401632
143,0.6401632
144,0.6401632
145,0.6401632
146,0.6401632
147,0.6401632
148,0.6401632
149,0.6401601
150,0.6401632
151,0.6401632
152,0.6401632
153,0.6401632
154,0.6401632
155,0.6401632
156,0.6401632
157,0.6401632
158,0.6401632
159,0.6401632
160,0.6401632
161,0.6401632
162,0.6401632
163,0.6401632
164,0.6401632
165,0.6401632
166,0.6401632
167,0.6401632
168,0.6401632
169,0.6401632
170,0.6401632
171,0.6401601
172,0.6401632
173,0.6401632
174,0.6401632
175,0.6401632
176,0.6401632
177,0.6401632
178,0.6401632
179,0.6401632
180,0.6401632
181,0.6401632
182,0.6401632
183,0.6401632
184,0.6401632
185,0.6401632
186,0.6401632
187,0.6401632
188,0.6401632
189,0.6401632
190,0.6401632
191,0.6401632
192,0.6401632
193,0.6401632
194,0.6401632
195,0.6401632
196,0.6401632
197,0.6401632
198,0.6401632
199,0.6401632
200,0.6401632
201,0.6401632
202,0.6401632
203,0.6401632
204,0.6401632
205,0.6401632
206,0.6401632
207,0.6401632
208,0.6401632
209,0.6401632
210,0.6401632
211,0.6401632
212,0.6401632
213,0.6401632
214,0.6401632
215,0.6401632
216,0.6401601
217,0.6401632
218,0.6401632
219,0.6401632
220,0.6401601
221,0.6401632
222,0.6401632
223,0.6401632
224,0.64017206
225,0.6401632
226,0.6401632
227,0.6401632
228,0.6401632
229,0.6401632
230,0.6401632
231,0.6401632
232,0.6401632
233,0.6401632
234,0.6401632
235,0.6401632
236,0.6401632
237,0.6401632
238,0.6401632
239,0.6401632
240,0.6401632
241,0.6401632
242,0.6401632
243,0.6401632
244,0.6401632
245,0.6401632
246,0.6401632
247,0.6401632
248,0.6401632
249,0.6401632
250,0.6401632
251,0.6401632
252,0.6401632
253,0.6401632
254,0.6401632
255,0.6401632
256,0.6401632
257,0.6401632
258,0.6401632
259,0.6401632
260,0.6401632
261,0.6401632
262,0.6401632
263,0.6401632
264,0.6401632
265,0.6401632
266,0.6401632
267,0.6401632
268,0.6401632
269,0.6401632
270,0.6401632
271,0.6401632
272,0.6401632
273,0.6401632
274,0.6401632
275,0.6401632
276,0.6401632
277,0.6401632
278,0.6401632
279,0.6401632
280,0.6401632
281,0.6401601
282,0.6401632
283,0.6401632
284,0.6401632
285,0.6401632
286,0.6401632
287,0.6401632
288,0.6401632
289,0.6401632
290,0.6401632
291,0.6401632
292,0.6401632
293,0.6401632
294,0.6401632
295,0.6401632
296,0.6401632
297,0.6401632
298,0.6401632
299,0.6401632
300,0.6401632
301,0.6401632
302,0.6401632
303,0.6401632
304,0.6401632
305,0.6401632
306,0.6401632
307,0.6401632
308,0.6401632
309,0.6401632
310,0.6401632
311,0.6401632
312,0.6401632
313,0.6401632
314,0.6401632
315,0.6401632
316,0.6401632
317,0.6401632
318,0.6401632
319,0.6401632
320,0.6401632
321,0.6401632
322,0.6401632
323,0.6401632
324,0.6401632
325,0.6401632
326,0.6401632
327,0.6401632
328,0.6401632
329,0.6401632
330,0.6401632
331,0.6401632
332,0.6401632
333,0.6401632
334,0.6401632
335,0.6401632
336,0.6401632
337,0.6401632
338,0.6401632
339,0.6401632
340,0.6401632
341,0.6401632
342,0.6401632
343,0.6401632
344,0.6401632
345,0.6401632
346,0.6401632
347,0.6401632
348,0.6401601
349,0.6401632
350,0.6401632
351,0.6401632
352,0.6401632
353,0.6401632
354,0.6401632
355,0.6401632
356,0.6401632
357,0.6401632
358,0.6401632
359,0.6401632
360,0.6401632
361,0.6401632
362,0.6401632
363,0.6401632
364,0.6401632
365,0.6401632
366,0.6401632
367,0.6401632
368,0.6401632
369,0.6401632
370,0.6401632
371,0.6401632
372,0.6401632
373,0.6401632
374,0.6401632
375,0.6401632
376,0.6401632
377,0.6401632
378,0.6401632
379,0.6401632
380,0.6401632
381,0.6401632
382,0.6401632
383,0.6401632
384,0.6401632
385,0.6401632
386,0.6401632
387,0.6401632
388,0.6401632
